CN+Old	Door43-Catalog	hi_iev	Aligned_Bible	https://git.door43.org/Door43-Catalog/hi_iev/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellapan\",\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellapan\",\"Dr. Joseph Jekab\",\"Hind Prakash\",\"Jinu Jacob\",\"MV Sunny\",\"Prabodh "
CN+Old	Door43-Catalog	ur-deva_tn	TSV_Translation_Notes	https://git.door43.org/Door43-Catalog/ur-deva_tn/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\",\"Dr. Bobby Chellappan\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Antoney Raj\",\"BCS\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Jinu Jacob\",\"Joseph Jekab\",\"Shojo John\",\"Vipin Bha"
Old	Door43-Catalog	ur-deva_obs-tq	OBS Translation Questions		"{\"checking\":{\"checking_entity\":[\"Dr. Bobby Chellappan\",\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Dr. Bobby Chellappan\",\"Vipin Bhadran\",\"Dr. Joseph Jekab\",\"Acsah Jacob\",\"Jinu Jacob\",\"Hind Prakash\"],\"creator\":\"Door43 World Missions Community\""
CN+Old	Door43-Catalog	ur-deva_ulb	Bible	https://git.door43.org/Door43-Catalog/ur-deva_ulb/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"Cdr. Thomas Mathew\",\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Rinu John\",\"Shojo John\",\"BCS\"],\"creator\":\"Door43 World Missions Communit"
CN+Old	Door43-Catalog	ur-deva_irv	Aligned_Bible	https://git.door43.org/Door43-Catalog/ur-deva_irv/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\",\"Dr. Bobby Chellappan\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Jinu Jacob\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\",\"description\":\"\",\""
Old	Door43-Catalog	ur-deva_tq	Translation Questions		"{\"checking\":{\"checking_entity\":[\"BCS\",\"Dr. Bobby Chellappan\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Antoney Raj\",\"BCS\",\"Dr. Bobby Chellappan\",\"Hinal Prakash\",\"Rinu John\",\"Shojo John\"],\"creator\":\"Door43 World Missions Community\",\"description\":\""
CN+Old	Door43-Catalog	ur-deva_tw	Translation_Words	https://git.door43.org/Door43-Catalog/ur-deva_tw/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\",\"Cdr. Thomas Mathew\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Shojo John\"],\"creator\":\"Door43 World Missions Community\",\"description\":\""
CN+Old	Door43-Catalog	ur-deva_ta	Translation_Academy	https://git.door43.org/Door43-Catalog/ur-deva_ta/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Jinu Jacob\",\"Dr. Joseph Jekab\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\",\"description\":\"A modul"
Old	Door43-Catalog	ur-deva_obs-tn	OBS Translation Notes		"{\"checking\":{\"checking_entity\":[\"BCS\",\"Dr. Bobby Chellappan\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Dr. Bobby Chellappan\",\"Dr. Joseph Jekab\",\"Hind Prakash\",\"Jinu Jacob\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\""
Old	Door43-Catalog	ur-deva_obs	Open Bible Stories		"{\"checking\":{\"checking_entity\":[\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Shojo John\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\",\"description\":\"50 ke"
Old	Door43-Catalog	nag_tq	Translation Questions		"{\"checking\":{\"checking_entity\":[\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Dr. Bobby Chellapan\",\"Dr. Joseph Jekab\",\"Hind Prakash\",\"Jinu Jacob\",\"Vipin Bhadran\"],\"creator\":\"BCS\",\"description\":\"Comprehension and theological questi"
Old	Door43-Catalog	nag_obs-tn	OBS Translation Notes		"{\"checking\":{\"checking_entity\":[\"BCS\",\"Dr. Bobby Chellappan\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Dr. Bobby Chellappan\",\"Dr. Joseph Jekab\",\"Hind Prakash\",\"Jinu Jacob\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\""
CN+Old	Door43-Catalog	nag_ta	Translation_Academy	https://git.door43.org/Door43-Catalog/nag_ta/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Jinu Jacob\",\"Dr. Joseph Jekab\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\",\"description\":\"A modul"
Old	Door43-Catalog	nag_obs-tq	OBS Translation Questions		"{\"checking\":{\"checking_entity\":[\"Dr. Bobby Chellappan\",\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Dr. Bobby Chellappan\",\"Vipin Bhadran\",\"Dr. Joseph Jekab\",\"Acsah Jacob\",\"Jinu Jacob\",\"Hind Prakash\"],\"creator\":\"Door43 World Missions Community\""
CN+Old	Door43-Catalog	nag_isv	Bible	https://git.door43.org/Door43-Catalog/nag_isv/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Dr. Bobby Chellappan\",\"Jitendra Samuel Singh\",\"Prabodh Kumar Singh\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\",\"description\":\"\",\"formats\":[{\"format\""
CN+Old	Door43-Catalog	nag_irv	Bible	https://git.door43.org/Door43-Catalog/nag_irv/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\",\"description\":\"\",\"formats\":[{\"format\":\"application/zip"
CN+Old	Door43-Catalog	nag_tn	TSV_Translation_Notes	https://git.door43.org/Door43-Catalog/nag_tn/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellappan\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Dr. Bobby Chellappan\",\"Dr. Joseph Jekab\",\"Hind Prakash\",\"Jinu Jacob\",\"Vipin Bhadran\"],\"creator\":\"Door43 Worl"
Old	Door43-Catalog	nag_obs	Open Bible Stories		"{\"checking\":{\"checking_entity\":[\"BCS\",\"Cdr. Thomas Mathew\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Shojo John\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\""
Old	Door43-Catalog	sw_obs-tn	OBS Translation Notes		"{\"checking\":{\"checking_entity\":[\"Ev . Mathew Kazimoto\",\"Ev. Ezekiel Daudi\",\"Ev. James A. Makula\",\"Ev. Moses Malugu\",\"GS. Andrew Gewe\",\"Past. Isack A. Gomugo\",\"Past. Mathias William\",\"Rev. John Ndaluka\",\"Rev. Alex Nyuri\",\"Rev. Catherin D. Matia\",\"Rev. Donal"
Old	Door43-Catalog	sw_tq	Translation Questions		"{\"checking\":{\"checking_entity\":[\"Ev . Mathew Kazimoto\",\"Ev. Ezekiel Daudi\",\"Ev. James A. Makula\",\"Ev. Moses Malugu\",\"GS. Andrew Gewe\",\"Past. Isack A. Gomugo\",\"Past. Mathias William\",\"Rev. John Ndaluka\",\"Rev. Alex Nyuri\",\"Rev. Catherin D. Matia\",\"Rev. Donal"
Old	Door43-Catalog	sw_obs-tq	OBS Translation Questions		"{\"checking\":{\"checking_entity\":[\"Rev. Erasmus Peter Malelo\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Mr. James Semnkai\",\"Romantts\"],\"creator\":\"Door43 World Missions Community\",\"description\":\"Comprehension and theological questions for Open Bible"
Old	Door43-Catalog	sw_obs	Open Bible Stories		"{\"checking\":{\"checking_entity\":[\"Rev. Erasmus Peter Malelo, Coordinator, Aict Pwani Diocese Translation Section\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Ev. Cloud Roman\",\"Ev. James A. Makula\",\"Ev. Lazaro Chalomhjola\",\"Ev. Mathew Kazimoto\",\"GS. "
Old	Door43-Catalog	sw_tn	Translation Notes		"{\"checking\":{\"checking_entity\":[\"Ev . Mathew Kazimoto\",\"Ev. Ezekiel Daudi\",\"Ev. James A. Makula\",\"Ev. Moses Malugu\",\"GS. Andrew Gewe\",\"Past. Isack A. Gomugo\",\"Past. Mathias William\",\"Rev. John Ndaluka\",\"Rev. Alex Nyuri\",\"Rev. Catherin D. Matia\",\"Rev. Donal"
CN+Old	Door43-Catalog	sw_tw	Translation_Words	https://git.door43.org/Door43-Catalog/sw_tw/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"Ev. Ezekiel Daudi\",\"Rev. Yohana S Dutuyi\",\"Rev. Donald Dutuyi\",\"Rev. Gungutu Elias\",\"GS. Andrew Gewe\",\"Pst. Isack A. Gomugo\",\"Ev . Mathew Kazimoto \",\"Rev. Yekonia M. Koko\",\"Rev. Dr. David Magoke \",\"Ev. James A. Makula\",\"Ev."
CN+Old	Door43-Catalog	sw_ulb	Bible	https://git.door43.org/Door43-Catalog/sw_ulb/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"Rev. Erasmus Peter Malelo\",\"Ev. Mathew Kazimoto\",\"Rev. Dr. David Magoke\",\"Rev. Elias Ndema\",\"Rev. Alex Nyuri\",\"Rev. Gungutu Elias\",\"Rev. Lameck Tobotobo\",\"Rev. Catherin D. Matia\",\"Rev. Yohana S Dutuyi\",\"Rev. Donald Dutuyi\","
Old	Door43-Catalog	gu_tq	Translation Questions		"{\"checking\":{\"checking_entity\":[\"Pastor Wilson Jacob\",\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Hind Prakash\",\"Jinu Jacob\",\"Michael Christy\",\"Shojo John\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\",\"descriptio"
CN+Old	Door43-Catalog	gu_irv	Aligned_Bible	https://git.door43.org/Door43-Catalog/gu_irv/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\",\"Hind Prakash\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Jinu Jacob\",\"Joseph Jekab\",\"Shojo John\",\"Vipin Bhadran\"],\"creator\":\"Door43 Wor"
CN+Old	Door43-Catalog	gu_tn	TSV_Translation_Notes	https://git.door43.org/Door43-Catalog/gu_tn/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\",\"Pastor Wilson Jacob\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Dr. Bobby Chellappan\",\"Dr. Joseph Jekab\",\"Hind Prakash\",\"Jinu Jacob\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\","
Old	Door43-Catalog	gu_obs-tn	OBS Translation Notes		"{\"checking\":{\"checking_entity\":[\"BCS\",\"Cdr. Thomas Mathew, Managing Director, BCS\",\"Pr. Wilson Jacob\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Anandiben I Parmar\",\"BCS\",\"Merlyn Easa\",\"Mukund J Macwan\",\"Roosevelt Christian\",\"Shojo John\"],\"creator"
CN+Old	Door43-Catalog	gu_glt	Aligned_Bible	https://git.door43.org/Door43-Catalog/gu_glt/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Hind Prakash\",\"Jinu Jacob\",\"Vipin Bhadran\"],\"creator\":\"Door43 World Missions Community\",\"description\":\"\",\"formats\":[{\"format\":\"application/zip; type=bun"
Old	Door43-Catalog	gu_obs	Open Bible Stories		"{\"checking\":{\"checking_entity\":[\"Cdr. Thomas Mathew, Managing Director, BCS\",\"Pr. Wilson Jacob\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Anandiben I Parmar\",\"Merlyn Easa\",\"Mukund J Macwan\",\"Roosevelt Christian\"],\"creator\":\"Door43 World Missions "
CN+Old	Door43-Catalog	gu_tw	Translation_Words	https://git.door43.org/Door43-Catalog/gu_tw/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"Cdr. Thomas Mathew\",\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Shojo John\"],\"creator\":\"Door43 World Missions Community\",\"description\":\""
Old	Door43-Catalog	gu_obs-tq	OBS Translation Questions		"{\"checking\":{\"checking_entity\":[\"BCS\",\"Cdr. Thomas Mathew, Managing Director, BCS\",\"Pr. Wilson Jacob\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Anandiben I Parmar\",\"BCS\",\"Merlyn Easa\",\"Mukund J Macwan\",\"Roosevelt Christian\",\"Shojo John\"],\"creator"
CN+Old	Door43-Catalog	gu_ta	Translation_Academy	https://git.door43.org/Door43-Catalog/gu_ta/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Cdr Thomas Mathew\",\"Dr Bobby Chellappan\",\"Antoney Raj\",\"Shojo John\",\"Hind Prakash\"],\"creator\":\"Door43 World Missions Community\",\"description\":\"A modular handbook that"
