Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error		
christopherrsmith/en_ust_est_book	2022-09-08T17:30:38.064Z	100	en	v2.1.12	0	en		0				2019-05-01T21:20:30.728Z	2.1.1	7			
christopherrsmith/en_ust_ezr_book	2022-09-08T17:30:38.064Z	100	en	v2.1.15	0	en		0	en	v28	v2.1.12	2019-05-01T21:12:26.890Z	3.0.1	7			
christopherrsmith/en_ust_jas_book	2022-09-08T17:30:38.064Z	100	en	v0.14	0			0				2021-04-28T10:37:39.335Z	3.0.1	7			
christopherrsmith/en_ust_luk_book	2022-09-08T17:30:38.064Z	100	en	v0.14	0	en	v0.12	0	en	v32	v0.13	2020-02-05T22:13:43.796Z	3.0.1	7			
christopherrsmith/en_ust_neh_book	2022-09-08T17:30:38.064Z	100	en	v2.1.12	0	en		0	en	v26	v2.1.11	2019-05-01T21:19:04.817Z	2.1.1	7			
christopherrsmith/en_ust_oba_book	2022-09-08T17:30:38.064Z	100	en	v2.1.11	0			0	en	v28	v2.1.12	2020-04-16T23:47:19.798Z	2.1.1	7			
Connie/en_kjv_1ti_book	2022-09-08T17:30:38.064Z	1	en	v0.21	0			1	en	v33	v0.14	2021-06-23T12:31:29.838Z	3.0.1	7			
dahutchison/en_jult_1ch_book	2022-09-08T17:30:38.064Z	100	en	v2.1.14	0			0				2019-10-17T14:46:46.397Z	3.0.0	7			
dahutchison/en_ult_1ch_book	2022-09-08T17:30:38.064Z	2	en		0			0				2019-10-17T14:46:46.397Z	2.1.0	7			
dahutchison/en_ult_2ch_book	2022-09-08T17:30:38.064Z	100	en	v2.1.14	0			0				2019-10-17T14:48:34.387Z	3.0.0	7			
dahutchison/en_ust_1ch_book	2022-09-08T17:30:38.064Z	100	en	v2.1.14	0			0				2020-04-19T02:43:19.655Z	3.0.0	7			
dahutchison/en_ust_2ch_book	2022-09-08T17:30:38.064Z	70	en	v2.1.15	0	hi		0				2020-04-19T02:44:30.851Z	3.0.1	7			
dandennison/en_ult_1ki_book	2022-09-08T17:30:38.064Z	8			0			0				2019-05-20T20:22:12.107Z		7			
davisprickett/en_ust_1pe_book	2022-09-08T17:30:38.064Z	98	en	v0.14	0			0				2021-09-24T19:57:49.375Z	3.0.1	7			
davisprickett/en_ust_phm_book	2022-09-08T17:30:38.064Z	100	en	v0.14	0	en	v0.14	0	en	v33	v0.14	2021-06-28T17:30:11.448Z	3.0.1	7			
deferredreward/en_ult_2co_book		100			0			0				2022-06-03T13:32:05.114Z	3.2.0	7			
deferredreward/en_ult_exo_book		99	en	v2.1.23	0			0	en	v56	v2.1.23	2021-07-06T14:58:31.206Z	3.1.0	7			
deferredreward/en_ult_exo_book-pre-s5-to-ts	2022-09-08T17:30:38.064Z	99	en	v2.1.19	0	hi		0				2019-07-18T12:51:05.291Z	3.0.1	7			
deferredreward/en_ust_1jn_book	2022-09-08T17:30:38.064Z	11			0			0				2018-08-01T18:15:32.347Z		7			
deferredreward/en_ust_est_book	2022-09-08T17:30:38.064Z	100	en	v2.1.17	0	en		0	en	v33	v2.1.15	2020-06-16T22:28:31.281Z	3.0.1	7			
deferredreward/en_ust_exo_book		99	en	v2.1.23	0			0	en	v58	v2.1.23	2022-04-01T03:33:16.329Z	3.1.0	7			
deferredreward/en_ust_exo_book-old		99	en	v2.1.23	0			0				2022-02-03T22:07:17.765Z	3.1.0	7			
deferredreward/en_ust_exo_book-pre-s5-to-ts	2022-09-08T17:30:38.064Z	99	en	v2.1.19	0	hi		0				2019-08-05T14:16:59.675Z	3.0.1	7			
deferredreward/en_ust_jon_book	2022-09-08T17:30:38.064Z	100			0			0				2019-06-26T13:22:29.928Z	1.1.4	7			
deferredreward/en_ust_rut_book	2022-09-08T17:30:38.064Z	100			0			0				2019-03-25T14:00:28.724Z	1.1.4	7			
Demsin/en_ust_dan_book	2022-09-08T17:30:38.064Z	99			0			0				2019-07-10T14:47:47.414Z	1.1.4	7			
Demsin/en_ust_est_book	2022-09-08T17:30:38.064Z	97			0			0				2019-05-01T21:20:30.728Z	1.1.4	7			
dougsmith1977/en_doug_gen_book	2022-09-08T17:30:38.064Z	31	en		0			0				2019-07-25T17:47:28.172Z	2.0.0	7			
dpennington/en_ult_lev_book		99	en	v2.1.23	0			0				2022-04-14T17:40:24.956Z	3.1.0	7			
ElsyLambert/en_edt_2ti_book	2022-09-08T17:30:38.064Z	0	en		1	en		1	en	v54	v0.22	2019-06-28T14:37:26.583Z	3.0.2	7			
ElsyLambert/en_loc_luk_book	2022-09-08T17:30:38.064Z	99	en		0			0				2021-11-05T17:33:15.985Z	3.0.2	7			
ElsyLambert/en_new_jon_book	2022-09-08T17:30:38.064Z	0	en		2	en		9	en			2019-12-05T17:05:17.991Z	2.1.0	7	unmatched tn checks found, 		
ElsyLambert/en_new_rev_book	2022-09-08T17:30:38.064Z	100	en		0			0	en			2020-02-10T20:15:39.088Z	3.0.0	7			
ElsyLambert/en_new_tit_book	2022-09-08T17:30:38.064Z	100	en		0	en		0	hi			2019-12-04T15:37:40.679Z	2.1.0	7			
ElsyLambert/en_newl_rev_book	2022-09-08T17:30:38.064Z	100	en		0			0	en			2020-02-10T20:15:39.088Z	2.1.0	7			
ElsyLambert/en_tes_3jn_book	2022-01-11T15:15:19.768Z	100	en		0	en		0	en			2020-02-10T18:34:34.391Z	2.1.0	7			
ElsyLambert/en_tes_tit_book	2022-09-08T17:30:38.064Z	100	en		0	en		0	hi			2019-12-04T15:37:40.679Z	2.1.0	7			
ElsyLambert/en_tesk_3jn_book	2022-09-08T17:30:38.064Z	100	en		0	en		0	en			2020-02-10T18:34:34.391Z	2.1.0	7			
ElsyLambert/en_tesr_3jn_book		100	en		0	en		0	en			2020-02-10T18:34:34.391Z	2.1.0	7			
ElsyLambert/en_tess_3jn_book		100	en		2	ru	vunknown	3	en	v60_Door43-Catalog	v0.24	2020-02-10T18:34:34.391Z	3.2.0	7			
ElsyLambert/en_test_1ti_book	2022-09-08T17:30:38.064Z	98			0			0				2019-05-06T19:43:48.725Z	1.2.0	7			
ElsyLambert/en_test_3jn_book	2022-09-08T17:30:38.064Z	100	en		0	en		0	en			2020-02-10T18:34:34.391Z	2.1.0	7			
ElsyLambert/en_test_rut_book	2022-09-08T17:30:38.064Z	100	en	v2.1.8	79	en	v2.1.8	28	en	v21	v2.1.8	2019-06-11T19:35:14.527Z	2.1.1	7	unmatched tn checks found, 		
ElsyLambert/en_ulb_tit_book	2022-09-08T17:30:38.064Z	0			2			0				2019-06-14T15:30:25.534Z	1.2.0	7			
ElsyLambert/en_ult_2ti_book	2022-09-08T17:30:38.064Z	0	en		1	en		0	en			2019-06-28T14:37:26.583Z	2.0.0	7			
ElsyLambert/en_ult_3jn_book	2022-09-08T17:30:38.064Z	100	en		100	en	v0.13	67	en			2019-08-01T15:14:39.307Z	3.0.0	7			
ElsyLambert/en_ult_jon_book	2022-09-08T17:30:38.064Z	100	en		88	en		54	en			2019-06-13T15:08:30.339Z	2.1.2	7	duplicate tw selections found, duplicate tn migrations found, unmatched tn checks found, 		
ElsyLambert/en_ult_neh_book	2022-09-08T17:30:38.064Z	98	en	v2.1.12	0	en		0	en	v28	v2.1.12	2019-04-26T21:47:08.489Z	2.2.0	7			
ElsyLambert/en_ult_rev_book	2022-09-08T17:30:38.064Z	100			0			0				2019-06-13T15:54:18.611Z	1.2.0	7			
ElsyLambert/en_ult_rut_book	2022-09-08T17:30:38.064Z	99	en		85	en		33	en			2019-06-11T19:35:14.527Z	2.1.0	7	unmatched tn checks found, 		
ElsyLambert/en_ulte_act_book	2022-09-08T17:30:38.064Z	99	en		0	en		0	en			2019-05-23T16:17:13.901Z	2.0.0	7			
ElsyLambert/en_ulte_neh_book	2022-09-08T17:30:38.064Z	98	en	v2.1.12	0	en		0	en	v28	v2.1.12	2019-04-26T21:47:08.489Z	2.2.0	7			
ElsyLambert/en_ultk_3jn_book	2022-09-08T17:30:38.064Z	100	en		100	en		67	en			2019-08-01T15:14:39.307Z	2.2.0	7			
ElsyLambert/en_ultk_rut_book	2022-09-08T17:30:38.064Z	99	en		85	en		33	en			2019-06-11T19:35:14.527Z	2.1.0	7	unmatched tn checks found, 		
ElsyLambert/en_ultl_3jn_book	2022-09-08T17:30:38.064Z	100	en		100	en		67	en			2019-08-01T15:14:39.307Z	2.2.0	7			
