Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
shojojohn/mr_irv_jud_book	2022-01-10T14:37:20.312Z	65			0			0				2019-09-13T05:43:44.505Z	1.1.4	7			
shojojohn/mr_irv_luk_book	2022-01-10T14:37:20.312Z	10			0			0				2019-08-12T05:10:10.500Z	1.1.4	7			
shojojohn/mr_irv_mat_book	2022-01-10T14:37:20.312Z	18			0			0				2019-08-23T08:28:05.352Z	1.1.4	7			
shojojohn/mr_irv_mrk_book	2022-01-10T14:37:20.312Z	16			0			0				2019-08-23T08:30:14.203Z	1.1.4	7			
shojojohn/mr_irv_phm_book	2022-01-10T14:37:20.312Z	50			0			0				2019-09-13T05:39:41.703Z	1.1.4	7			
shojojohn/mr_irv_php_book	2022-01-10T14:37:20.312Z	81			0			0				2019-08-12T05:13:20.595Z	1.1.4	7			
shojojohn/mr_irv_rev_book	2022-01-10T14:37:20.312Z	31			0			0				2019-09-13T05:44:27.793Z	1.1.4	7			
shojojohn/mr_irv_rom_book	2022-01-10T14:37:20.312Z	75			0			0				2019-09-13T05:34:20.163Z	1.1.4	7			
shojojohn/mr_irv_tit_book		63			0			0				2019-04-16T04:16:06.262Z		7			
shojojohn/mr_mgl_eph_book	2022-01-11T15:15:19.768Z	78	en	v0.20	68	en	v0.20	91	en	v53	v0.22	2021-11-01T07:43:06.339Z	3.0.1	7	duplicate tn selections found, duplicate tn migrations found, unmatched tn checks found, 		
sumit/mr_act_text_reg		0			0			0									
sunilkasbe/mr_mgl_1co_book		99	en	v0.29	99	en	v0.29	99	en	v65_Door43-Catalog	v0.29	2022-11-02T06:09:10.790Z	3.4.0	8			
sunilkasbe/mr_mgl_1th_book		100	en	v0.24	100	en	v0.24	99	en	v60	v0.24	2022-05-18T14:34:13.863Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
