Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
rob/ru_rob_2ki_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:02:14.744Z	3.0.1	7			
rob/ru_rob_2pe_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:56:20.346Z	3.0.1	7			
rob/ru_rob_2sa_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T21:03:36.479Z	3.0.1	7			
rob/ru_rob_2th_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:48:52.027Z	3.0.1	7			
rob/ru_rob_2ti_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:42:31.609Z	3.0.1	7			
rob/ru_rob_3jn_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:36:41.033Z	3.0.1	7			
rob/ru_rob_act_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:04:46.396Z	3.0.1	7			
rob/ru_rob_amo_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T20:52:49.835Z	3.0.1	7			
rob/ru_rob_col_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:39:20.817Z	3.0.1	7			
rob/ru_rob_dan_book	2021-12-22T12:50:20.216Z	1	en		0	hi		0				2021-03-21T21:41:14.571Z	3.0.1	7			
rob/ru_rob_deu_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T21:42:52.412Z	3.0.1	7			
rob/ru_rob_ecc_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T21:43:48.430Z	3.0.1	7			
rob/ru_rob_eph_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:44:28.437Z	3.0.1	7			
rob/ru_rob_est_book	2021-12-22T12:50:20.216Z	0	en		0			0	en	v44	v2.1.17	2021-03-21T21:48:11.000Z	3.0.1	7			
rob/ru_rob_exo_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:50:04.211Z	3.0.1	7			
rob/ru_rob_ezk_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T21:53:10.881Z	3.0.1	7			
rob/ru_rob_ezr_book	2021-12-22T12:50:20.216Z	0	en		0			0	en	v44	v2.1.17	2021-03-21T21:54:55.037Z	3.0.1	7			
rob/ru_rob_gal_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:56:20.091Z	3.0.1	7			
rob/ru_rob_gen_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T21:57:36.618Z	3.0.1	7			
rob/ru_rob_hab_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T22:00:18.155Z	3.0.1	7			
rob/ru_rob_hag_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T22:02:46.445Z	3.0.1	7			
rob/ru_rob_heb_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T22:03:41.832Z	3.0.1	7			
rob/ru_rob_hos_book	2021-12-22T12:50:20.216Z	1	en		0	hi		0				2021-03-21T22:06:10.364Z	3.0.1	7			
rob/ru_rob_isa_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T22:07:35.641Z	3.0.1	7			
rob/ru_rob_jas_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T22:09:19.900Z	3.0.1	7			
rob/ru_rob_jdg_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T22:18:34.420Z	3.0.1	7			
rob/ru_rob_jer_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T21:21:43.412Z	3.0.1	7			
rob/ru_rob_jhn_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:20:30.784Z	3.0.1	7			
rob/ru_rob_job_book	2021-12-22T12:50:20.216Z	1	en		0	hi		0				2021-03-21T21:16:07.278Z	3.0.1	7			
rob/ru_rob_jol_book	2021-12-22T12:50:20.216Z	0	en		0			0	en	v44	v2.1.17	2021-03-21T20:35:33.073Z	3.0.1	7			
rob/ru_rob_jon_book	2021-12-22T12:50:20.216Z	2	en		0			0				2021-03-21T22:19:46.752Z	3.0.1	7			
rob/ru_rob_jos_book	2021-12-22T12:50:20.216Z	0	en		0			0	en	v44	v2.1.17	2021-03-21T21:13:05.060Z	3.0.1	7			
rob/ru_rob_jud_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:32:15.027Z	3.0.1	7			
rob/ru_rob_lam_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T20:28:00.611Z	3.0.1	7			
rob/ru_rob_lev_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:25:22.965Z	3.0.1	7			
rob/ru_rob_luk_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:23:35.389Z	3.0.1	7			
rob/ru_rob_mal_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T20:21:22.670Z	3.0.1	7			
rob/ru_rob_mat_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:19:43.113Z	3.0.1	7			
rob/ru_rob_mic_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T20:17:40.334Z	3.0.1	7			
rob/ru_rob_mrk_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:16:56.930Z	3.0.1	7			
rob/ru_rob_nam_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:15:31.856Z	3.0.1	7			
rob/ru_rob_neh_book	2021-12-22T12:50:20.216Z	0	en		0			0	en	v44	v2.1.17	2021-03-21T20:07:52.350Z	3.0.1	7			
rob/ru_rob_num_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:04:33.880Z	3.0.1	7			
rob/ru_rob_oba_book	2021-12-22T12:50:20.216Z	0	en		0			0	en	v44	v2.1.17	2021-03-21T20:02:41.889Z	3.0.1	7			
rob/ru_rob_phm_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:01:33.074Z	3.0.1	7			
rob/ru_rob_php_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T19:59:44.613Z	3.0.1	7			
rob/ru_rob_pro_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T19:54:11.070Z	3.0.1	7			
rob/ru_rob_psa_book	2021-12-22T12:50:20.216Z	31	en		0	hi		0				2021-03-21T19:46:15.917Z	3.0.1	7			
rob/ru_rob_rev_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T19:23:15.916Z	3.0.1	7			
rob/ru_rob_rom_book	2021-12-22T12:50:20.216Z	1	en		0			0				2021-03-21T19:16:50.950Z	3.0.1	7			
rob/ru_rob_rut_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T19:11:01.073Z	3.0.1	7			
rob/ru_rob_sng_book	2021-12-22T12:50:20.216Z	2	en		0	hi		0				2021-03-21T19:08:37.320Z	3.0.1	7			
rob/ru_rob_tit_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-22T03:24:11.751Z	3.0.1	7			
rob/ru_rob_zec_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T19:06:34.919Z	3.0.1	7			
rob/ru_rob_zep_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T19:02:55.921Z	3.0.1	7			
RobH/ru_ustx_mat_book	2021-12-22T12:50:20.216Z	6			0			0				2018-09-04T06:14:05.049Z		6			
royalsix/ru_rob_phm_book	2021-12-22T12:50:20.216Z	40			0			0				2019-05-14T12:40:35.259Z	1.1.4	7			
ru_gl/ru_rob_1ti_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-01-26T22:44:29.131Z	3.0.1	7			
Samuel_Kim/ru_rlob_1ti_book_test	2021-12-22T12:50:20.216Z	100	en	v0.17	100	en	v0.17	86	en	v44	v0.18	2021-01-26T22:44:29.131Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
Savchak/ru_ulb_mrk_book	2021-12-22T12:50:20.216Z	3			0			0				2019-05-13T07:44:45.156Z		7			
uW_test_001/kan-x-palligaru_reg_tit_book	2021-12-22T12:50:20.216Z	0	en		0	kn	v0.22	54	kn	v33.2	v0.8	2021-11-10T12:41:52.097Z	3.0.1	7			
varun/kan-x-palligaru_reg_tit_book	2021-12-22T12:50:20.216Z	0	en		0	kn	v0.22	51	kn	v33.2	v0.8	2021-11-10T12:41:52.097Z	3.0.1	7			
Yuri/ru_rob_2jn_book	2021-12-22T12:50:20.216Z	100	en	v0.19	0	ru		0	en	v45	v0.19	2021-03-21T20:59:36.710Z	3.0.1	7			
Yuri/ru_rob_act_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0	en		0	en			2019-08-14T11:21:22.861Z	2.1.2	7			
Yuri/ru_rsol_tit_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2020-04-29T07:57:17.462Z	2.1.2	7			
Yuri/ru_ulb_tit_book	2021-12-22T12:50:20.216Z	100	en		1			0				2019-05-14T12:20:23.897Z	2.0.0	7			
Yuri/ru_yuri_3jn_book	2021-12-22T12:50:20.216Z	100	en		100	en	v0.12	86	en	v30	v0.12	2020-01-13T17:10:53.619Z	2.1.2	7	unmatched tn checks found, 		
